term,indicator,glossed_as,page,pre_context,post_context
ontwaaren,of,een visscherij kan worden gehouden,#+ NL-HaNA_1.04.02_10002_0023.xml,"worden vervolgd, om te",een visscherij kan worden gehouden of niet. §11: Het planten
gehouden,of,niet. §11: Het planten van,#+ NL-HaNA_1.04.02_10002_0023.xml,een visscherij kan worden,"niet. §11: Het planten van de nelie is op Ceilon,"
4:,of,5. De onderge teekende Gouverneur,#+ NL-HaNA_1.04.02_10002_0023.xml,niet meer geeven dan,5. De onderge teekende Gouverneur heeft reeds te meermaalen veel
zien,of,hij eenige luiden van de,#+ NL-HaNA_1.04.02_10002_0023.xml,"moeijte gedaan, om te",hij eenige luiden van de kist van kormandel daar ook
40.,of,"50. Chi- neesen, al wat",#+ NL-HaNA_1.04.02_10002_0023.xml,om ons van Batavia,"50. Chi- neesen, al wat het zelfs meer, te willen"
Jaaren,of,ook zelfs maar voor zoo,#+ NL-HaNA_1.04.02_10002_0023.xml,voor een bepaald getal,"ook zelfs maar voor zoo lang het hun hier aanstaet,"
wagen,of,ze geneigt waeren velden een,#+ NL-HaNA_1.04.02_10002_0023.xml,"spaarenrijk beschijden waaren, laaten",ze geneigt waeren velden een „ #+ ---
baij,of,daar omstreeks wagen veel na,#+ NL-HaNA_1.04.02_10002_0024.xml,wil hebben naar Bom,daar omstreeks wagen veel na poe= der zuiker. zulke handelaars
13.,of,ten minsten teegens 14. ropijen,#+ NL-HaNA_1.04.02_10002_0024.xml,de zuiker hier tegens,"ten minsten teegens 14. ropijen de pikol word verkogt, en"
gezonden,of,uit Nederland terug verzogt; indien,#+ NL-HaNA_1.04.02_10002_0027.xml,der mag worden herwaards,uit Nederland terug verzogt; indien ze reeds mogt na derwaards
onderhoud,of,rd=n 100:— en 16. parr:s,#+ NL-HaNA_1.04.02_10002_0028.xml,zijn te goed gemaakt,"rd=n 100:— en 16. parr:s rijst, mids hij aanneemd het"
betaelt,of,ook ingevalle uw Hoog Edelh:,#+ NL-HaNA_1.04.02_10002_0028.xml,wij te Batavia is,"ook ingevalle uw Hoog Edelh: mogten oordeelen, dat aan htem"
konsideratien,of,'er naer 'sland gebruik ook,#+ NL-HaNA_1.04.02_10002_0031.xml,met bijvoegin van zijne,'er naer 'sland gebruik ook eenige bijvoegingen en bepa lingen
sterk,of,we ook de verpagtingen van,#+ NL-HaNA_1.04.02_10002_0031.xml,ge eerd goedvinden willen,we ook de verpagtingen van de ne geregtigheeden in de
vierde,of,"laatste gearresteerde, gem: executie mede",#+ NL-HaNA_1.04.02_10002_0033.xml,"Justitie, voorts dat de","laatste gearresteerde, gem: executie mede aangezien hebbende voor af van"
nooijt,of,ooijt weder intekoomen en verklaeringe,#+ NL-HaNA_1.04.02_10002_0033.xml,van lijfstraffe em en,ooijt weder intekoomen en verklaeringe dat hij geen gagie zal
beperken,of,in eeniger hande manier te,#+ NL-HaNA_1.04.02_10002_0034.xml,vermoogen om die te,"in eeniger hande manier te bepaelen, wanneer het eens tot"
hebben,of,"tot het Regiment behooren, waer",#+ NL-HaNA_1.04.02_10002_0035.xml,de konspiraetsie eenige betrekking,"tot het Regiment behooren, waer van de eerste aan den"
Batavia,of,"het pro ces dat hier,",#+ NL-HaNA_1.04.02_10002_0037.xml,tiessie des kasteels te,"het pro ces dat hier, teegens hem is geinstrueerd, Bij"
geschieven,of,we zouden hebben moeten koomen,#+ NL-HaNA_1.04.02_10002_0037.xml,den eerst eergisteren kunnen,"we zouden hebben moeten koomen tot violenle middelen, die we,"
gaat,of,"men zoude ook alle andere,",#+ NL-HaNA_1.04.02_10002_0037.xml,dat hij na Batavia,"men zoude ook alle andere, die in dit proces getuigenis"
neraal,of,daar hoogst denzelven dat zal,#+ NL-HaNA_1.04.02_10002_0038.xml,de Heer Gouverneur Ge,daar hoogst denzelven dat zal goedvinden te beveelen. 529. Om
zaekt,of,"ten minsten aengemoedigt, volgden hun",#+ NL-HaNA_1.04.02_10002_0038.xml,zoo men zegt genood-,"ten minsten aengemoedigt, volgden hun voorbeeld. Het geval zelfs is"
bediendens,of,zoo genaemde zen- delingen van,#+ NL-HaNA_1.04.02_10002_0039.xml,zijn aangekoo= men twee,"zoo genaemde zen- delingen van de Nabab Machmet Alichan, die"
gedaen,of,"konditie, dat de wagters zoo",#+ NL-HaNA_1.04.02_10002_0040.xml,104. Deeze vertagtingen zijn,"konditie, dat de wagters zoo wel van de vis als"
onzeeker,of,een nieuw gezan schap na,#+ NL-HaNA_1.04.02_10002_0046.xml,Bovendien is het zeer,"een nieuw gezan schap na Madras, dat dan noodig zoude"
beproeft,of,men zig daer over met,#+ NL-HaNA_1.04.02_10002_0047.xml,als rens te hebben,"men zig daer over met hem kan verstaen, dan met"
kopijen,of,"extract hier ne„ vens gaen,",#+ NL-HaNA_1.04.02_10002_0047.xml,Hoog Edelh:s deliberaetien in,"extract hier ne„ vens gaen, in dien toon geschreeven zijn,"
als,of,de komp:e daer alleen als,#+ NL-HaNA_1.04.02_10002_0047.xml,"dien toon geschreeven zijn,",de komp:e daer alleen als toegelaeten was tot den handel
tribuut,of,hoofd geld van de Paruassen,#+ NL-HaNA_1.04.02_10002_0048.xml,"inkoomende regten, en het",hoofd geld van de Paruassen en andere bewoonders van de
eene,of,de andere wijze ka„ worden,#+ NL-HaNA_1.04.02_10002_0048.xml,in niet op de,"de andere wijze ka„ worden voorzien, gaende weg meer en"
zien,of,men daer over een arangement,#+ NL-HaNA_1.04.02_10002_0051.xml,"nog gelast, om te",men daer over een arangement zoude kunne vinden om die
trakt,of,overeenkomst noopens deeze laetste viscerij,#+ NL-HaNA_1.04.02_10002_0052.xml,dan bij het kon„,"overeenkomst noopens deeze laetste viscerij konde gezet worden, dat de"
veel,of,"weinig gronds 'er is, om",#+ NL-HaNA_1.04.02_10002_0053.xml,de fransche taele Hoe,"weinig gronds 'er is, om te verwagten, dat de Nabab"
anderingen,of,"bepaelingen, zal willen ratificeeren durve",#+ NL-HaNA_1.04.02_10002_0053.xml,uitgestrektheid zonder eenige ver„,"bepaelingen, zal willen ratificeeren durve we niet te verzeekeren, en"
problematik„,of,hij zig op de Madureephe,#+ NL-HaNA_1.04.02_10002_0053.xml,het nog altoos heel,"hij zig op de Madureephe Kust, ter goeder trouw daer"
word:,of,de Nabab van dit bedrijf,#+ NL-HaNA_1.04.02_10002_0054.xml,land„ regent daermeede gemeend,de Nabab van dit bedrijf kennis heeft is ons insgelijx
zeggen,of,het hem anders door een,#+ NL-HaNA_1.04.02_10002_0055.xml,zig ontbieden en hem,"het hem anders door een bediende laeten weeten, dat de"
houden,off,niet houden na dat ze,#+ NL-HaNA_1.04.02_10002_0055.xml,een visserij te doen,niet houden na dat ze dat goed gevind geen reeden
kan,of,"zal gehouden worden, en dat",#+ NL-HaNA_1.04.02_10002_0055.xml,dit Jaer geen vissor,"zal gehouden worden, en dat hij daer om hoe eer"
weeten,of,'er werkelyk oesters op de,#+ NL-HaNA_1.04.02_10002_0055.xml,aengeleegen is. om te,"'er werkelyk oesters op de banken zijn, gelijk deeze man"
vraegen,of,hij menschen bij zig heeft,#+ NL-HaNA_1.04.02_10002_0055.xml,gelast om hem te,"hij menschen bij zig heeft die dat aenwijzen kunnen, en"
twee,of,drie sipaijen waaren aengekoomen. In,#+ NL-HaNA_1.04.02_10002_0055.xml,de eerste vijff tonies,drie sipaijen waaren aengekoomen. In zig zelven is dit een
en,of,we hetzelve als dan met,#+ NL-HaNA_1.04.02_10002_0056.xml,dit mogte willen onderneemen,we hetzelve als dan met der daed zullen doen beletten.
sterken,of,we namentlijk wan„ neer de,#+ NL-HaNA_1.04.02_10002_0059.xml,goed„ vinden te willen,"we namentlijk wan„ neer de fransen zaeken mogten onderneemen, die"
hoofden,of,het aenleggen van Pakhuisen tot,#+ NL-HaNA_1.04.02_10002_0059.xml,in het maeken van,"het aenleggen van Pakhuisen tot hun speciael gebruik, en andere"
wel,of,we voor dat we daer,#+ NL-HaNA_1.04.02_10002_0059.xml,"niet helpen kunnen, dan","we voor dat we daer toe koomen, ons eerst. zullen"
een,of,"ander de partement behooren, en",#+ NL-HaNA_1.04.02_10002_0060.xml,ver„ schillen tot het,"ander de partement behooren, en we doen deeze nedrige vraege"
bedingen,of,eenige zaaken van wat naem,#+ NL-HaNA_1.04.02_10002_0061.xml,"nedrig inzien, met geene","eenige zaaken van wat naem ze ook moogen weezen, diend"
weinig,of,"niets gewonnen zijt, en dat",#+ NL-HaNA_1.04.02_10002_0062.xml,"daerop in verscheide Jaeren,","niets gewonnen zijt, en dat mits de dit niet meer"
ontwinnen,of,dat ze zig ten minsten,#+ NL-HaNA_1.04.02_10002_0062.xml,"te hebben, beginnen te",dat ze zig ten minsten te vreede houden met Eliphanten
deezen,of,Hoogst De zelve zoude kunnen,#+ NL-HaNA_1.04.02_10002_0063.xml,van te doen door,Hoogst De zelve zoude kunnen goedvinden. 1:o om aen het
egter,of,hij eeniger maeten tot redelijken,#+ NL-HaNA_1.04.02_10002_0065.xml,"gehad heeft, scheen het",hij eeniger maeten tot redelijken gedagten gekoomen we dan dewijl
„willigd,of,"ontsegt worden, alleen vind men",#+ NL-HaNA_1.04.02_10002_0067.xml,"het zelve, kan inge„","ontsegt worden, alleen vind men dat het in het Iaer"
aftewagten,of,het kan „diase Hof ons,#+ NL-HaNA_1.04.02_10002_0068.xml,"kandia te kopen, maer",het kan „diase Hof ons derwegens eenige voorste„ „len zoude
bedeelen,of,het zijne Majesteit welgevallig zoude,#+ NL-HaNA_1.04.02_10002_0068.xml,versoek ons ons te,"het zijne Majesteit welgevallig zoude wesen, dat hij in persoon"
wel,of,"hij liever wilde, dat een",#+ NL-HaNA_1.04.02_10002_0068.xml,"volk na kandia, dan","hij liever wilde, dat een hof bediende van kandia wierd"
beproeven,of,dat door een brief van,#+ NL-HaNA_1.04.02_10002_0071.xml,"schrijven, nog eens te","dat door een brief van hem aen den Nabab, tot"
neemt,of,"niet, in het stuk van",#+ NL-HaNA_1.04.02_10002_0077.xml,de kooning hierin genoegen,"niet, in het stuk van de stranden nin „mer eenig"
Deenen,of,"andere vreemden, daar hunne scheepen",#+ NL-HaNA_1.04.02_10002_0078.xml,"„den, inzonderheid zoo de","andere vreemden, daar hunne scheepen zenden, om die aftehaalen. Ons"
missen,of,de konkurrentie die daaruit moet,#+ NL-HaNA_1.04.02_10002_0078.xml,"is, kan het niet","de konkurrentie die daaruit moet voortkoomen, zal spoedig op s'"
byvoegingen,of,"bepaalingen zal zijn geratificeerd, en",#+ NL-HaNA_1.04.02_10002_0079.xml,"van weerskanten, zonder eenige","bepaalingen zal zijn geratificeerd, en dat deeze ratifikatien weederzijds zullen"
weeten,of,ik het bij het herstellen,#+ NL-HaNA_1.04.02_10002_0082.xml,"needrig, on te moogen",ik het bij het herstellen der voorsz: werken voor eerst
wel,of,"ik met die dingen, die",#+ NL-HaNA_1.04.02_10002_0082.xml,"eerst zal laaten berusten,","ik met die dingen, die naar het eenstem gevoelen van"
veranderen,of,"naauwer te beperken, na dat",#+ NL-HaNA_1.04.02_10002_0083.xml,"zaamen te doen, te","naauwer te beperken, na dat Hoogst Derzelve dat ten dienste"
gezogt,of,ze onder de hand konden,#+ NL-HaNA_1.04.02_10002_0084.xml,"te stellen, heb ik","ze onder de hand konden worden gepersuadeerd,; om na kandie"
weeten,of,ik deeze kandianen als ik,#+ NL-HaNA_1.04.02_10002_0084.xml,verzoek ik te moogen,"ik deeze kandianen als ik ze niet meer verbergen kan,"
wel,of,ik het wijgeren zal op,#+ NL-HaNA_1.04.02_10002_0084.xml,"zal moogen overgeven, dan",ik het wijgeren zal op funda„ mint dat ten minsten
deezen,of,diergelijken dekmantel zoude kun nen,#+ NL-HaNA_1.04.02_10002_0085.xml,te ontdekken wat onder,"diergelijken dekmantel zoude kun nen schuilen, en ons traktaat met"
kontrakten,of,korrespondentien ten nadeele van de,#+ NL-HaNA_1.04.02_10002_0085.xml,de Inlandsche vorsten geen,korrespondentien ten nadeele van de komp: aangaan mag. Ik beveele
Roche,of,de Heer Delmillac. De eerste,#+ NL-HaNA_1.04.02_10002_0088.xml,de Heer de la,de Heer Delmillac. De eerste die de dienst died van
geschieden,of,de La Roche moeste Majoor,#+ NL-HaNA_1.04.02_10002_0089.xml,en dit konde niet,de La Roche moeste Majoor worden. Met welk een onbescheiden
zelfs,of,"waar het weezen mogt, ze",#+ NL-HaNA_1.04.02_10002_0090.xml,het zij bij Hem,"waar het weezen mogt, ze mij niet oopentlijk geweld zoude"
trekken,of,ook het Engels Gouvernement geen,#+ NL-HaNA_1.04.02_10002_0096.xml,gaan zeer in twyffel,ook het Engels Gouvernement geen afkeer zoude gehad hebben om
examineeren,of,het niet moogelijk zoude geweest,#+ NL-HaNA_1.04.02_10002_0097.xml,nog alleen over te,"het niet moogelijk zoude geweest zijn, door zagte middelen deeze"
sluiten,of,ze zelfs geheel te voorkoo„,#+ NL-HaNA_1.04.02_10002_0097.xml,middelen deeze dingen te,ze zelfs geheel te voorkoo„ „men. Ik Kende de La
zien,of,Hij tot inkeer koomen wilde.,#+ NL-HaNA_1.04.02_10002_0098.xml,enkeldmaal geprobeerd om te,Hij tot inkeer koomen wilde. Op een brief die ik
deeze,of,"eenige andere poinkten misgist hebben,",#+ NL-HaNA_1.04.02_10002_0100.xml,fiskaal van Angelbeek zich,"eenige andere poinkten misgist hebben, dan verzoek ik zeer eerbiedig"
vraagt,of,Hij niet in onze dienst,#+ NL-HaNA_1.04.02_10002_0102.xml,"blijven, mij heeft ge„","Hij niet in onze dienst zoude kunnen overgaan als kaptain,"
zien,of,zo in kandia eenig goede,#+ NL-HaNA_1.04.02_10002_0103.xml,kommissie hadden om te,zo in kandia eenig goede Eliphanten voor de Nabab-koopen konden.
Colonel,of,per le logement qu'il liis,#+ NL-HaNA_1.04.02_10002_0105.xml,Mr. De Bas Lieutenant,per le logement qu'il liis avois faib prepare toujours accompagné
rang,of,ouderdom van bediening/ en hij,#+ NL-HaNA_1.04.02_10002_0115.xml,zonder aan„ =merking van,"ouderdom van bediening/ en hij wilde, door zig te doen"
erkentenis,of,uijt genee„ =genheijd (:tet grootste,#+ NL-HaNA_1.04.02_10002_0117.xml,bezoeken het zij uijt,uijt genee„ =genheijd (:tet grootste gedeelte hem niet anders als
vreese,of,de zin en het waare,#+ NL-HaNA_1.04.02_10002_0118.xml,toegeevendheijd het zij uijt,de zin en het waare oogmerk van deeze brief niet
kuijs,of,"op de wandeling, men een",#+ NL-HaNA_1.04.02_10002_0119.xml,het hij in zijn,"op de wandeling, men een dopper stuk moest doen om"
dag,of,"by nagt, met dezelve langs",#+ NL-HaNA_1.04.02_10002_0120.xml,slaan het zij bij,"by nagt, met dezelve langs de wal te komen, om"
vond,of,schuldige gereed #+ --- schuldige gereed #+ ---,#+ NL-HaNA_1.04.02_10002_0120.xml,dezelve onder de wapens,schuldige gereed #+ ---
weg,of,bij uE: aanweezen in kandia,#+ NL-HaNA_1.04.02_10002_0127.xml,het zij op de,"bij uE: aanweezen in kandia ter spraak bren „gen, moet"
Specifikatie,ofte,Memorie van de ge„ schenken,#+ NL-HaNA_1.04.02_10002_0134.xml,drie p:s goude soesjes.,Memorie van de ge„ schenken die van weegen de Generaa¬
poujon,of,Bergaals guinees. „ 1. d–o,#+ NL-HaNA_1.04.02_10002_0135.xml,ien p:s extra fijn,Bergaals guinees. „ 1. d–o „ „ 48. Tien p:s
globen,of,lanthaarns d_o „ 14. —,#+ NL-HaNA_1.04.02_10002_0136.xml,12. 13. ses glaase,lanthaarns d_o „ 14. — - -. Een segelschvoet en
Specificatie,ofte,"Memorie van de Geschenken, die",#+ NL-HaNA_1.04.02_10002_0136.xml,- - twee bodidaars.,"Memorie van de Geschenken, die van wegen de Generaale Oost"
panjangs,of,fijn gebleekt guinee „ d=o,#+ NL-HaNA_1.04.02_10002_0137.xml,bree goude hoofden. vijf,fijn gebleekt guinee „ d=o — „ 31. twee guinees
Rapport,of,"Dag, verhaal Gericht aan Den",#+ NL-HaNA_1.04.02_10002_0138.xml,--- No: 22: Eerbiedig,"Dag, verhaal Gericht aan Den wel Edelen Gester„ „gen Groot"
ontwaering,of,ook eenige rachtigheid daar aan,#+ NL-HaNA_1.04.02_10002_0141.xml,"Lijnwaat was, openen; ter","ook eenige rachtigheid daar aan mogte gekoomen zijn, door de"
letteren,off,Saterdag den 18. Maart Heeden,#+ NL-HaNA_1.04.02_10002_0142.xml,gedaan bij onse submissie,Saterdag den 18. Maart Heeden namiddag 5. uuren liet de
verschoont,of,"verkleed te hebben, voorgen dan",#+ NL-HaNA_1.04.02_10002_0142.xml,"verdere Hofsgrooten, na hun","verkleed te hebben, voorgen dan gewoonlijk, bij ons zouden koomen,"
en,of,schoon we daar op ons,#+ NL-HaNA_1.04.02_10002_0143.xml,"de verdere Heeren Hofsgrooten,",schoon we daar op ons Leedwezen betuigden wijl dan die
vragen,off,we genegen waar op reis,#+ NL-HaNA_1.04.02_10002_0146.xml,Dessave der vier korls,"we genegen waar op reis te gaan, waar op wij"
s.,of,de geene die de koetsch,#+ NL-HaNA_1.04.02_10002_0147.xml,"wierden, en bestonden in",de geene die de koetsch gemaakt hadde m gekoomen was!
2,of,de koetsch niet uit elkander,#+ NL-HaNA_1.04.02_10002_0147.xml,konde in ordre brengen:,de koetsch niet uit elkander genomen en in meerdere kassen
als,of,het nog lange zouden aanloopen,#+ NL-HaNA_1.04.02_10002_0147.xml,aangezien het ons toescheen,het nog lange zouden aanloopen om die twee swaare kassen
meening,of,het goed zoude weesen om,#+ NL-HaNA_1.04.02_10002_0149.xml,te vraegen na onse,het goed zoude weesen om de koetsch uit de kasse
bijvoeging,of,wij konden goedvinden om de,#+ NL-HaNA_1.04.02_10002_0150.xml,schriftelijk heeft gedaan met,wij konden goedvinden om de koetsch te laeten uijt de
wel,of,"wij lieven derzelve, na Kandia",#+ NL-HaNA_1.04.02_10002_0150.xml,"alhier te vertoeven, dan","wij lieven derzelve, na Kandia met agterlaating wilden voortreisen, wijl"
en,of,'er eene paarlvis„ „serij stond,#+ NL-HaNA_1.04.02_10002_0150.xml,de visitaatsie der paarlbanken,"'er eene paarlvis„ „serij stond gehouden te worden, voor hoe"
was,of,ook imand anders deel aan,#+ NL-HaNA_1.04.02_10002_0150.xml,van silauw bevoorens verpagt,"ook imand anders deel aan de visserij had, en indelijk"
indelijk,of,den Engelschen Nabab daar aan,#+ NL-HaNA_1.04.02_10002_0150.xml,"de visserij had, en","den Engelschen Nabab daar aan geen deel had, en of"
en,of,"derwegen geene verschillen plaats hadden,",#+ NL-HaNA_1.04.02_10002_0150.xml,"aan geen deel had,","derwegen geene verschillen plaats hadden, zoo meede hoe lang het"
m,of,meer 10. â: 15000. Rd:s,#+ NL-HaNA_1.04.02_10002_0151.xml,verre ons voorstond voor,meer 10. â: 15000. Rd:s verpagt was; dat daar aan
nader;,of,"der wegens schrijvens was gekoomen,",#+ NL-HaNA_1.04.02_10002_0151.xml,"vreede hadden, vroegen zij","der wegens schrijvens was gekoomen, en na zulks met ja"
verder,of,"we de papieren gezien hadden,",#+ NL-HaNA_1.04.02_10002_0151.xml,"hebben beantwoord, vroegen ze","we de papieren gezien hadden, 't welk meede niet Ja"
vraegen,of,wij 'er in kond stemmen,#+ NL-HaNA_1.04.02_10002_0152.xml,kommissie om ons te,wij 'er in kond stemmen om de nog agtergebleevene goot
regen,of,"hoegenaamt, waar van hij ons",#+ NL-HaNA_1.04.02_10002_0153.xml,bed het zij door,"hoegenaamt, waar van hij ons dan ook vrijkende, onder betuiging"
wat,of,zijn H: M: bij verkrijging,#+ NL-HaNA_1.04.02_10002_0157.xml,"van de stranden, en",zijn H: M: bij verkrijging van dezelve anders zouden daar
gaven,of,daar op geene re¬ „fectie,#+ NL-HaNA_1.04.02_10002_0157.xml,in billijke overwe„ ging,daar op geene re¬ „fectie behoorde geslagen te worden met
dag,of,een goede uur hoe. nader,#+ NL-HaNA_1.04.02_10002_0157.xml,Dessave op een goeden,een goede uur hoe. nader #+ ---
weeten,of,we ook iets anders te,#+ NL-HaNA_1.04.02_10002_0159.xml,hij verzogt te mogen,we ook iets anders te verhandelen hadden dan het hem
om,of,ons gemak te moogen gaan,#+ NL-HaNA_1.04.02_10002_0163.xml,k: M: verlop Gaf,ons gemak te moogen gaan zitten 't welk wij na
vroeg,of,we ook zoo lange orgens,#+ NL-HaNA_1.04.02_10002_0165.xml,die ons vervol„ „gens,"we ook zoo lange orgens wilden gaan zitten, het geen"
vroeg,of,oe ook 89 iets vergeten,#+ NL-HaNA_1.04.02_10002_0165.xml,wanneer zijne K: M:,"oe ook 89 iets vergeten hadden voortedragen, 't welk met"
'smorgens,of,zo lange als het zijn,#+ NL-HaNA_1.04.02_10002_0166.xml,om met vermaak tot,"zo lange als het zijn k: M: behaagde, daar te"
als,of,zijg met deeze ambassade zeer,#+ NL-HaNA_1.04.02_10002_0168.xml,allen opzigte heeft toegescheenen,zijg met deeze ambassade zeer vereert en voldaan zijn Woensdag
deze,of,"onze Musikanten ook dande konden,",#+ NL-HaNA_1.04.02_10002_0168.xml,en onder anderen ook,"onze Musikanten ook dande konden, 't welk den Dessave der"
vroegen,of,te liever lus„ tigere stukken,#+ NL-HaNA_1.04.02_10002_0170.xml,"schepten, alwaarom we hun","te liever lus„ tigere stukken hooren wilden, en wijl zij"
Rijksadigaar,of,wij inklineerden om een olifant,#+ NL-HaNA_1.04.02_10002_0171.xml,ons den Heer Eerste,"wij inklineerden om een olifant verscheide kunsten te zien doen,"
Ambassadeur,of,schoon het ook voornaame perzo„,#+ NL-HaNA_1.04.02_10002_0171.xml,'t welk nimmer eenig,"schoon het ook voornaame perzo„ nagies waaren geweest, had genooten"
vragen,of,zulks ook bij zijne H:,#+ NL-HaNA_1.04.02_10002_0174.xml,om de musikanten te,zulks ook bij zijne H: M: van Frankrijk te zien
